Wind direction at 10m (deg),Wind speed at 10m (knots),Temperature at 2m (deg C),Rainfall mm/hr,ID,Valid time
220,08,21.8,0.0,AAA,01:00 29-Dec-2018 UTC
240,02,21.7,0.0,AAA,00:00 29-Dec-2018 UTC
230,06,20.9,0.0,AAA,23:00 28-Dec-2018 UTC
250,06,20.6,0.0,AAA,22:00 28-Dec-2018 UTC
160,04,21.2,0.0,AAA,21:00 28-Dec-2018 UTC
020,03,19.9,0.0,AAA,20:00 28-Dec-2018 UTC
130,04,17.7,0.0,AAA,19:00 28-Dec-2018 UTC
120,03,16.5,0.0,AAA,18:00 28-Dec-2018 UTC
120,02,16.1,0.0,AAA,17:00 28-Dec-2018 UTC
170,03,16.3,0.0,AAA,16:00 28-Dec-2018 UTC
130,03,16.2,0.0,AAA,15:00 28-Dec-2018 UTC
050,01,15.9,0.0,AAA,14:00 28-Dec-2018 UTC
150,04,16.2,0.0,AAA,13:00 28-Dec-2018 UTC
160,04,16.5,0.0,AAA,12:00 28-Dec-2018 UTC
150,04,16.2,0.0,AAA,11:00 28-Dec-2018 UTC
200,06,17.3,0.0,AAA,10:00 28-Dec-2018 UTC
230,06,17.4,0.0,AAA,09:00 28-Dec-2018 UTC
220,07,17.9,0.0,AAA,08:00 28-Dec-2018 UTC
230,08,19.1,0.0,AAA,07:00 28-Dec-2018 UTC
230,10,19.9,0.0,AAA,06:00 28-Dec-2018 UTC
220,11,20.4,0.0,AAA,05:00 28-Dec-2018 UTC
220,12,21.3,0.0,AAA,04:00 28-Dec-2018 UTC
230,14,20.9,0.0,AAA,03:00 28-Dec-2018 UTC
230,13,21.2,0.0,AAA,02:00 28-Dec-2018 UTC
230,12,21.3,0.0,AAA,01:00 28-Dec-2018 UTC
230,11,20.9,0.0,AAA,00:00 28-Dec-2018 UTC
230,10,20.0,0.0,AAA,23:00 27-Dec-2018 UTC
210,10,19.3,0.0,AAA,22:00 27-Dec-2018 UTC
200,10,19.5,0.0,AAA,21:00 27-Dec-2018 UTC
210,12,18.7,0.0,AAA,20:00 27-Dec-2018 UTC
200,08,17.5,0.0,AAA,19:00 27-Dec-2018 UTC
210,12,16.7,0.0,AAA,18:00 27-Dec-2018 UTC
210,10,16.3,0.0,AAA,17:00 27-Dec-2018 UTC
220,11,16.4,0.0,AAA,16:00 27-Dec-2018 UTC
210,14,16.6,0.0,AAA,15:00 27-Dec-2018 UTC
220,13,16.5,0.0,AAA,14:00 27-Dec-2018 UTC
200,10,16.8,0.0,AAA,13:00 27-Dec-2018 UTC
210,12,16.5,0.0,AAA,12:00 27-Dec-2018 UTC
210,13,16.7,0.0,AAA,11:00 27-Dec-2018 UTC
220,10,16.4,0.0,AAA,10:00 27-Dec-2018 UTC
220,11,16.4,0.0,AAA,09:00 27-Dec-2018 UTC
220,12,17.1,0.0,AAA,08:00 27-Dec-2018 UTC
210,12,17.7,0.0,AAA,07:00 27-Dec-2018 UTC
220,13,18.7,0.0,AAA,06:00 27-Dec-2018 UTC
220,15,19.3,0.0,AAA,05:00 27-Dec-2018 UTC
230,15,20.3,0.0,AAA,04:00 27-Dec-2018 UTC
220,14,20.4,0.0,AAA,03:00 27-Dec-2018 UTC
220,15,20.9,0.0,AAA,02:00 27-Dec-2018 UTC
220,12,20.5,0.0,AAA,01:00 27-Dec-2018 UTC
220,14,19.7,0.0,AAA,00:00 27-Dec-2018 UTC
220,13,20.2,0.0,AAA,23:00 26-Dec-2018 UTC
220,11,19.8,0.0,AAA,22:00 26-Dec-2018 UTC
210,13,19.3,0.0,AAA,21:00 26-Dec-2018 UTC
200,11,18.8,0.0,AAA,20:00 26-Dec-2018 UTC
210,12,17.8,0.0,AAA,19:00 26-Dec-2018 UTC
210,11,16.6,0.0,AAA,18:00 26-Dec-2018 UTC
210,10,16.7,0.0,AAA,17:00 26-Dec-2018 UTC
210,13,16.6,0.0,AAA,16:00 26-Dec-2018 UTC
210,13,17.0,0.0,AAA,15:00 26-Dec-2018 UTC
200,14,17.1,0.0,AAA,14:00 26-Dec-2018 UTC
210,15,17.1,0.0,AAA,13:00 26-Dec-2018 UTC
210,12,17.3,0.0,AAA,12:00 26-Dec-2018 UTC
220,15,17.3,0.0,AAA,11:00 26-Dec-2018 UTC
220,13,17.6,0.0,AAA,10:00 26-Dec-2018 UTC
210,13,17.9,0.0,AAA,09:00 26-Dec-2018 UTC
220,16,18.1,0.0,AAA,08:00 26-Dec-2018 UTC
230,18,18.3,0.0,AAA,07:00 26-Dec-2018 UTC
220,16,18.7,0.0,AAA,06:00 26-Dec-2018 UTC
230,19,19.7,0.0,AAA,05:00 26-Dec-2018 UTC
230,18,20.1,0.0,AAA,04:00 26-Dec-2018 UTC
230,17,20.2,0.0,AAA,03:00 26-Dec-2018 UTC
230,18,20.9,0.0,AAA,02:00 26-Dec-2018 UTC
230,18,20.5,0.0,AAA,01:00 26-Dec-2018 UTC
230,18,19.8,0.0,AAA,00:00 26-Dec-2018 UTC
220,17,19.6,0.0,AAA,23:00 25-Dec-2018 UTC
230,22,19.4,0.0,AAA,22:00 25-Dec-2018 UTC
230,20,19.8,0.0,AAA,21:00 25-Dec-2018 UTC
